Date,SPX
31/12/1993,100
31/01/1994,103.2500745
28/02/1994,100.1479265
31/03/1994,95.56650821
30/04/1994,96.66845158
31/05/1994,97.86686424
30/06/1994,95.24493034
31/07/1994,98.24418442
31/08/1994,101.9380379
30/09/1994,99.19819468
31/10/1994,101.2648717
30/11/1994,97.26444213
31/12/1994,98.46070901
31/01/1995,100.8511096
28/02/1995,104.4892277
31/03/1995,107.344834
30/04/1995,110.3462341
31/05/1995,114.3530947
30/06/1995,116.7863621
31/07/1995,120.4973703
31/08/1995,120.4587824
30/09/1995,125.2888751
31/10/1995,124.6650198
30/11/1995,129.7823946
31/12/1995,132.0463023
31/01/1996,136.3533077
29/02/1996,137.2987408
31/03/1996,138.3856755
30/04/1996,140.2443919
31/05/1996,143.4494539
30/06/1996,143.7731778
31/07/1996,137.19584
31/08/1996,139.7770336
30/09/1996,147.3534139
31/10/1996,151.1994859
30/11/1996,162.2939223
31/12/1996,158.8037241
31/01/1997,168.5410982
28/02/1997,169.5401408
31/03/1997,162.3153555
30/04/1997,171.7954778
31/05/1997,181.8587217
30/06/1997,189.7609588
31/07/1997,204.5899825
31/08/1997,192.8330899
30/09/1997,203.0828609
31/10/1997,196.0810315
30/11/1997,204.823668
31/12/1997,208.0458716
31/01/1998,210.157574
28/02/1998,224.9630055
31/03/1998,236.1989434
30/04/1998,238.3427959
31/05/1998,233.8557011
30/06/1998,243.0785587
31/07/1998,240.2551217
31/08/1998,205.2267133
30/09/1998,218.0319399
31/10/1998,235.5386463
30/11/1998,249.4651035
31/12/1998,263.5287702
31/01/1999,274.3359378
28/02/1999,265.4796707
31/03/1999,275.7787463
30/04/1999,286.2429027
31/05/1999,279.0952798
30/06/1999,294.288761
31/07/1999,284.8579562
31/08/1999,283.0764283
30/09/1999,274.994089
31/10/1999,292.1920932
30/11/1999,297.7618176
31/12/1999,314.9855209
31/01/2000,298.9516401
29/02/2000,292.9402956
31/03/2000,321.2734307
30/04/2000,311.3795727
31/05/2000,304.5556736
30/06/2000,311.8447719
31/07/2000,306.7488304
31/08/2000,325.3682099
30/09/2000,307.9665501
31/10/2000,306.442274
30/11/2000,281.9058671
31/12/2000,283.0485572
31/01/2001,292.8523904
28/02/2001,265.8248278
31/03/2001,248.7576216
30/04/2001,267.8657796
31/05/2001,269.2292665
30/06/2001,262.4890071
31/07/2001,259.6698357
