Дата;Средне-взвешенная цена за лот;Расчетная цена;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Изменение;Объем последней сделки, контр.;Число сделок;Объем торгов, руб.;Объем торгов, контр.;Объем открытых позиций, руб.;Объем открытых позиций, контр.;
03.01.2018;114086;113430;113670;115990;113430;113430;0,38;1;5;654574;5;73411402;564;
04.01.2018;117566;118000;116980;118000;116950;118000;4,03;1;7;939285;7;75959125;564;
05.01.2018;;119540;;;;;;;;;;76844605;564;
09.01.2018;121580;121270;121580;121580;121580;121580;;1;1;138674;1;78012796;564;
10.01.2018;120698;121500;120140;121500;120000;121500;-0,07;1;4;550115;4;77805067;562;
11.01.2018;121500;121500;121500;121500;121500;121500;;1;1;137973;1;77540809;562;
12.01.2018;123980;123980;123980;123980;123980;123980;2,04;1;2;280455;2;78807900;562;
15.01.2018;125310;125150;125310;125310;125310;125310;1,07;1;1;141386;1;79639896;564;
16.01.2018;122360;123000;122360;122360;122360;122360;-2,35;1;1;138010;1;77967215;562;
17.01.2018;;124120;;;;;;;;;;79201721;562;
18.01.2018;125213;125850;124780;125850;124780;125850;;1;4;566066;4;79652681;560;
19.01.2018;;124300;;;;;;;;;;78832454;560;
22.01.2018;126500;126500;126500;126500;126500;126500;;1;1;143104;1;80138458;560;
23.01.2018;;125860;;;;;;;;;;79570910;560;
24.01.2018;;125010;;;;;;;;;;78857106;560;
25.01.2018;128670;129110;128590;129110;128280;129110;;1;4;574373;4;80687141;560;
26.01.2018;;125790;;;;;;;;;;79113154;560;
29.01.2018;127240;126090;127320;127320;127160;127160;;1;2;287048;2;79647120;560;
30.01.2018;127220;127220;127220;127220;127220;127220;0,05;1;1;143023;1;80093031;560;
31.01.2018;;124310;;;;;;;;;;78312517;560;
01.02.2018;126090;126260;126090;126090;126090;126090;;1;1;141699;1;79458249;560;
02.02.2018;126630;125410;127620;127620;125640;125640;-0,36;1;2;285566;2;79188088;560;
05.02.2018;125030;125030;125030;125030;125030;125030;-0,49;1;1;142030;1;79821045;562;
06.02.2018;121705;121610;121510;122210;121490;121610;-2,74;1;4;556518;4;77573662;558;
07.02.2018;;122510;;;;;;;;;;78023349;558;
08.02.2018;119665;119570;119760;119760;119570;119570;;1;2;277288;2;77301860;558;
09.02.2018;117373;117410;117280;117430;117280;117410;-1,81;1;3;410906;3;76178450;556;
12.02.2018;114470;118560;114830;114830;114110;114110;-2,81;1;2;265875;2;76554128;556;
13.02.2018;;120850;;;;;;;;;;77678677;556;
